Id,Price
725,172957.8166884791
15856,204851.8820780912
5480,147056.75415809083
15664,356318.0014137344
14275,137698.45719632914
7633,205652.50267085867
13329,167713.35499738032
5502,219354.0751224426
4220,292447.7720193147
11538,202860.7229970169
15975,279141.3829818314
3310,219650.80197217176
9286,147062.20212483857
11260,189474.1839664423
5214,118121.41468329268
11307,178477.31397382257
13543,403177.9188593467
615,158819.27455009264
3495,212959.37764209873
2321,243295.6680990138
12046,199475.3573536226
16688,145037.02752077818
12694,227214.14745848282
783,143600.5718346589
8968,163237.75664493174
13454,177343.06832296666
12190,274318.0839386258
11160,107915.28917933909
10291,187619.9682174616
891,266904.09907151177
2982,189271.79909741355
3818,275686.6696777694
2449,197163.63674023628
8317,162174.32413784138
4922,174050.39768729726
1257,245425.1060028433
9348,189852.64465665584
4176,173423.13437650597
10704,164666.7005501438
6624,117832.80943566903
5428,178296.82703508798
12749,173505.48745969046
8994,204333.9783428985
11513,139351.81885693574
3047,183208.9429899501
9519,201389.58639275224
12309,350929.2810567759
14081,260919.67071727288
8334,263936.65130145766
6343,174103.63931248095
14788,128327.35589914271
15748,464594.56712534215
153,250325.36076940483
14149,181056.48101470133
269,189049.42489793332
5452,128151.072369301
721,164673.1543766439
5079,322347.29692789493
2831,122380.79585999581
10614,128940.63619947125
10131,312964.93542601186
9996,327634.7586943549
3061,188243.9143481932
11733,316951.533649548
3726,206193.78966445936
10929,225593.66460651773
9011,133579.24055189072
16182,290769.6453532634
4976,176477.503221661
9897,240364.78233542744
1872,173845.8374322621
9205,501355.35917005665
5403,327819.352876873
14074,203656.74657375333
6268,153005.32323101442
14232,163008.51470960295
8532,222822.261590225
7034,356981.31876932486
6553,418749.5103332828
3133,175445.12865178124
8596,208926.12723212395
12389,252192.05250548857
14462,172041.055020723
8860,285755.2725577544
8377,285739.57000676426
6367,310130.8018017804
6917,242578.65696469598
4216,218595.58049752403
5806,179303.13045056246
5438,182259.97769793897
6632,195828.55593858156
2650,150724.21365365494
5396,211881.05813871627
4044,154008.26988414043
1345,247615.20130144097
856,176466.3406788062
12791,251305.81396852285
12499,210697.05142537344
12249,129059.36686179116
14641,147821.73180626766
1919,157262.62992898896
7848,194909.2940188738
10749,194382.6181520903
15554,194180.83768398955
15834,171489.13483485236
1355,172752.2090415913
15451,181757.47373671964
12401,201933.7337585429
10290,174885.34346813246
9462,122400.84788020994
3103,238735.78238672708
3420,116666.3074917971
12262,239041.75825510302
5032,152362.01471784976
8949,313210.1629270787
15567,235768.54214015408
16389,149052.39463143089
7809,83366.51030181536
8990,162336.72458614744
16089,265919.3377809291
12743,117111.01406336568
5132,141586.40256731753
1619,270492.628242044
2428,87326.06137682887
16741,161722.3146263439
13193,217377.46658174874
12588,521470.10239215
5067,172352.85626560746
14685,126794.3354286709
2292,180164.89924376292
5746,129795.76084004977
12578,168253.04990100194
14834,167280.39107147645
2147,173396.03528414978
8222,129782.51006322334
10419,263564.74465411785
11492,225849.65687556763
3006,235942.08266317457
8761,192124.47606212104
15371,373424.8635413689
16367,164330.27615892474
6317,259690.75573125065
10878,268127.0121348011
3895,158667.87644833274
8041,200325.78185586646
13428,460329.0676774195
14669,156758.8195850553
1006,171872.30845238946
12271,175128.58833506302
3764,369845.58912908554
7675,197657.5960660071
11709,280408.58282934746
8629,161772.69026896858
1105,339794.55905233516
6096,184323.2470763367
11727,210233.90437417716
5157,182882.7501847479
3679,143378.83373785927
1755,148322.57333497854
7391,206698.4009125478
